state,State,goal,pledged,backers_count,campaign_length,decision_timing,spotlight,staff_pick,category_name,parent_category,usd_pledged,Blurb length,Blurb caps,Name Length,Name Caps,created_at,deadline,launched_at,fx_rate,static_usd_rate,state_changed_at,name,country,blurb,category,,
successful,1,3000,4618,61,2592000,2592000,TRUE,TRUE,"dance/performances""",dance,4618.0,107,4,21,3,1579292017,1583025192,1580433192,1,1,1583025192,Revisionist History 2,US,"Support great art! Join us as we re-stage the iconic ballet ""Pas de Quatre"" with a diverse cast of dancers.","{""id"":254,""name"":""Performances"",""slug"":""dance/performances"",""position"":1,""parent_id"":6,""parent_name"":""Dance"",""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance/performances""}}}",,
failed,0,20000,3461,52,2592000,2592000,FALSE,TRUE,"food/drinks""",food,3461.0,135,13,54,7,1446051515,1450118057,1447526057,1,1,1450118057,JinBucha: A Modern Kombucha tasting room in North Park,US,JinBucha is a new kind of Brewery in North Park serving Crafted Kombucha on draft in a Modern Tasting Room with Authentic Chinese Food.,"{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}",,
failed,0,15000,0,0,2024373,2024373,FALSE,FALSE,"food/drinks""",food,0.0,95,10,32,6,1518159717,1520233260,1518208887,1,1,1520233260,Tea Room Cafe - Daily & Herb Tea,US,"""Taste The Scent of Tea"" Rose and Blanc Tea Room is building up the tea culture in Los Angeles.","{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}",,
failed,0,2000,25,2,5180400,5180400,FALSE,FALSE,"food/food trucks""",food,25.0,107,4,36,29,1454217596,1459885844,1454705444,1,1,1459885844,HELP TWO BROTHERS OPEN A FOOD TRUCK!,US,Bringing Philly cheesesteaks (and other delicious sandwiches) to a town near you! (If you live in Colorado),"{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",,
successful,1,800,3275,150,1209600,1209600,TRUE,FALSE,"design/product design""",design,3275.0,75,0,41,10,1571342290,1574445600,1573236000,1,1,1574445600,Son the Frog Plushie Keychain + JUICY Pin,US,a frog plushie keychain and frog butt pin for all your strange froggy needs,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",,
successful,1,1800,2796,42,1296000,1296000,TRUE,FALSE,"dance""",dance,2796.0,124,4,13,2,1380472192,1385175960,1383879960,1,1,1385175960,Icarus Lives!,US,"Two aerialists, 100 feet of rope, and a myth deferred come to life in this visual feast fed to you by a romantic and a liar.","{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}",,
successful,1,7200,7600,56,2764800,2764800,TRUE,FALSE,"fashion/pet fashion""",fashion,7600.0,126,6,57,4,1491799796,1494874410,1492109610,1,1,1494874410,Dripping Dog Bathrobe: Made to keep your dogs & home dry!,US,"No more wet dog running around your home. This dog bathrobe is perfect for after baths, swimming or rain and snow. Made in USA","{""id"":268,""name"":""Pet Fashion"",""slug"":""fashion/pet fashion"",""position"":7,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/pet%20fashion""}}}",,
successful,1,10000,10940.99,219,2592000,2592017,TRUE,TRUE,"dance/performances""",dance,10940.99,59,5,21,4,1553568753,1556717515,1554125515,1,1,1556717532,The Dances are For Us,US,Investigating the Instrumentalization of Israeli Folk Dance,"{""id"":254,""name"":""Performances"",""slug"":""dance/performances"",""position"":1,""parent_id"":6,""parent_name"":""Dance"",""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance/performances""}}}",,
successful,1,1800,2075.02,50,2592000,2592003,TRUE,FALSE,"publishing/poetry""",publishing,2075.02,114,4,48,3,1313963110,1316555346,1313963346,1,1,1316555349,"Only that it is perfectly beautiful... ""A Space""",US,I've written poems I believe in. I want to publish them so that people can read them... because I believe in them!,"{""id"":50,""name"":""Poetry"",""slug"":""publishing/poetry"",""position"":12,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/poetry""}}}",,
failed,0,3500,140,4,3024000,3024004,FALSE,FALSE,"food/food trucks""",food,140.0,130,17,30,4,1411660707,1418156010,1415132010,1,1,1418156014,The Taste of Jamaica on Wheels,US,We serve Jerk Chicken and Pork all over NC at events. Please help us share the marvelous taste of Jamaica with...A NEW GRILL!!! =),"{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",,
successful,1,7500,7805,35,3381494,3381495,TRUE,FALSE,"dance/residencies""",dance,7805.0,125,17,38,6,1419517323,1431964140,1428582646,1,1,1431964141,Cape Dance Festival New Work Residency,US,"Help fund our New Work Residency with 10 amazing dancers from the Boston Ballet, July 19th – 25th in beautiful Cape Cod, MA,.","{""id"":255,""name"":""Residencies"",""slug"":""dance/residencies"",""position"":2,""parent_id"":6,""parent_name"":""Dance"",""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance/residencies""}}}",,
successful,1,4000,4358,62,4741802,4741802,TRUE,FALSE,"music/jazz""",music,4358.0,93,7,15,2,1552364451,1557113400,1552371598,1,1,1557113400,Life in Between,US,"A Jazz Album with new original music and arrangements by Jazz Saxophonist, Sebastian Pinillos","{""id"":41,""name"":""Jazz"",""slug"":""music/jazz"",""position"":10,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/jazz""}}}",,
successful,1,500,581,25,2458809,2458809,TRUE,FALSE,"design/product design""",design,581.0,110,6,30,5,1578273089,1581476400,1579017591,1,1,1581476400,Watch Prints - It's About Time,US,Hand-finished art collection celebrating iconic watches and the history of horology. It's about time. Make 100,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",,
successful,1,3500,4188,35,1814400,1814400,TRUE,FALSE,"art/painting""",art,4188.0,112,2,46,6,1335991270,1338240647,1336426247,1,1,1338240647,Tyler School of Art: Summer Painting Residency,US,This is a seven-week painting residency where I will create a new body of work that culminates in an exhibition.,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}",,
failed,0,2000,0,0,2592000,2592000,FALSE,FALSE,"publishing/young adult""",publishing,0.0,98,4,31,4,1503796093,1506792142,1504200142,1,1,1506792142,Alterna-Nerd Subscription Boxes,US,Alterna-Nerd is a subscription box service that combines books with a passion for 90s pop culture.,"{""id"":328,""name"":""Young Adult"",""slug"":""publishing/young adult"",""position"":15,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/young%20adult""}}}",,
